"","Name","Designation","Department","Qualification"
"1230","GOMEZ,MARY LOUISE","Professor","Curriculum And Instruction","PHD 1985 Univ of Wisconsin-Madison"
"1231","GOMEZ,PABLO","Associate Professor","Dept Of Med History&amp;Bioethics","PHD  Vanderbilt University"
"1232","GOMEZ,TIMOTHY M","Professor","Department Of Neuroscience","PHD 1995 Univ of Minnesota-Twin Cities"
"1233","GONG,SHAOQIN SARAH","Professor","Biomedical Engineering","PHD 1999 Univ of Michigan at Ann Arbor"
"1234","GONG,XIANGHONG","Professor","Mathematics","PHD 1994 University of Chicago"
"1235","GOOD,ANNALEE","Lecturer","Educational Policy Studies","PHD 2011 Univ of Wisconsin-Madison"
"1236","GOODING,DIANE CAROL","Professor","Psychology","PHD 1996 Univ of Minnesota-Twin Cities"
"1237","GOODKIN,RICHARD","Professor","French And Italian","PHD 1981 Princeton University"
"1238","GOODRICH-BLAIR,HEIDI","Professor","Bacteriology","PHD 1993 State U of New York at Albany"
"1239","GOODWIN,LAUREL B","Professor","Geoscience","PHD 1988 Univ of California Berkeley"
"1240","GOPALAN,PADMA","Professor","Materials Science&amp;Engineering","PHD 2001 Cornell University"
"1241","GORDON,SANDY","Assoc Lecturer","Design Studies","MFA 2013 Univ of Wisconsin-Madison"
"1242","GORIN,VADIM","Assistant Professor","Mathematics","PHD 2011 Moscow State Univ Lomonosov"
"1243","GOSBEE,ALYSSA L.","Lecturer","Marketing","MBA 1997 University of Alaska-Anchorage"
"1244","GOSS,KARA","Assistant Professor","Medicine","MD 2007 Baylor College Of Medicine"
"1245","GOTTLIEB,PAULA","Professor","Philosophy","PHD 1988 Cornell University"
"1246","GOULD,BRIAN","Professor","Agricultural&amp;Applied Economics","PHD 1983 Cornell University"
"1247","GOULD,MICHAEL","Professor","Oncology","PHD 1977 Univ of Wisconsin-Madison"
"1248","GOURSE,RICHARD","Professor","Bacteriology","PHD 1980 Brown University"
"1249","GRABOIS,DANIEL","Associate Professor","Mead Witter School Of Music","MM 1989 Manhattan School Of Music"
"1250","GRAEFE,GOETZ","Adjunct Assoc Prof","Computer Sciences","PHD 1987 Univ of Wisconsin-Madison"
"1251","GRAHAM,LINDA","Professor","Botany","PHD 1975 Univ of Michigan at Ann Arbor"
"1252","GRAHAM,MIKE","Professor","Chemical &amp; Biological Engr","PHD 1991 Cornell University"
"1253","GRAHAM,STEPHANIE","Clinical Assoc Prof","Counseling Psychology","PHD 2009 Auburn University"
"1254","GRAINGER,CORBETT","Associate Professor","Agricultural&amp;Applied Economics","PHD 2010 U of California-Santa Barbara"
"1255","GRALNICK,LISA B","Professor","Art","MFA 1980 SUNY College at New Paltz"
"1256","GRANAT,AARON","Audiovisual Srv Asst","Arts Institute - General","MA 2011 Univ of Wisconsin-Madison"
"1257","GRANICK,MARTIN","Clinical Instructor","Medical Sciences","DVM 2017 Univ of Wisconsin-Madison"
"1258","GRANT,CARL","Professor","Curriculum And Instruction","PHD 1972 Univ of Wisconsin-Madison"
"1259","GRANT,MONICA J","Associate Professor","Sociology","PHD 2009 University of Pennsylvania"
"1260","GRATTON,CLAUDIO","Professor","Entomology","PHD 1997 Univ of California Berkeley"
"1261","GRAUE,BETH","Professor","Curriculum And Instruction","PHD 1990 Univ of Colorado at Boulder"
"1262","GRAVES,LUCAS","Associate Professor","Journalism&amp;Mass Communication","PHD 2013 Columbia University"
"1263","GRAY,JONATHAN","Professor","Communication Arts","PHD 2003 University of London"
"1264","GRECO,JIM","Faculty Associate","Theatre &amp; Drama","MFA 1985 Univ of IL at Urbana-Champaign"
"1265","GREEN,C. SHAWN","Associate Professor","Psychology","PHD 2008 University Of Rochester"
"1266","GREEN,CHELSEY MARIE","Assoc Lecturer","Statistics","MS  Univ of Wisconsin-Madison"
"1267","GREEN,GARY P.","Professor","Community &amp; Environ Sociology","PHD 1983 Univ of Missouri-Columbia"
"1268","GREENBERG,ANDREW","Dis Faculty Associate","Chemical &amp; Biological Engr","PHD 2004 Pennsylvania State University"
"1269","GREENBERG,CAPRICE C","Professor","Surgery","MD 1998 University of Chicago"
"1270","GREENBERG,JAN","Professor Emer","Social Work","PHD 1987 Univ of Minnesota-Twin Cities"
"1271","GREENE,CHRISTINA","Professor","Afro-American Studies","PHD 1996 Duke University"
"1272","GREENE,LINDA","Professor","Law School","JD 1974 Univ of California Berkeley"
"1273","GREENE,MADELYNE ZUEHLKE","Assistant Professor","Nursing","DNS 2017 University of Pennsylvania"
"1274","GREENSPAN,DANIEL S.","Professor","Cell And Regenerative Biology","PHD 1981 New York University"
"1275","GREENWALD,MERCY MAXAN","Asst Faculty Assoc","Social Work","MSW 2010 Univ of Wisconsin-Madison"
"1276","GREENWOOD,PHILIP","Senior Lecturer","Management &amp; Human Resources","PHD 2002 Univ of Wisconsin-Madison"
"1277","GREGORY,JESSE MCCUNE","Associate Professor","Economics","PHD 2012 Univ of Michigan at Ann Arbor"
"1278","GREIG,TONY","Senior Lecturer","Accting &amp; Info Sys","PHD 1991 University Of Rochester"
"1279","GRIEP,ANNE ELIZABETH","Professor","Cell And Regenerative Biology","PHD 1985 Univ of Wisconsin-Madison"
"1280","GRIFFITH,EMILY","Assistant Professor","Accting &amp; Info Sys","PHD 2014 University of Georgia"
"1281","GRIFFITH,MATT","Lecturer","Accting &amp; Info Sys","MS 2007 Texas A &amp; M University"
"1282","GRIMALDI,CARMINE","Assoc Lecturer","History","MA 2011 University of Chicago"
"1283","GRIMM,GERIT","Associate Professor","Art","MFA 2004 Alfred University"
"1284","GRINBLAT,YEVGENYA","Associate Professor","Integrative Biology","PHD 1993 Harvard University"
"1285","GRIST,THOMAS M","Professor","Radiology","MD 1985 Medical College Of Wisconsin"
"1286","GRIZZARD,ROBERT","Lecturer","Mathematics","PHD 2016 University of Texas at Austin"
"1287","GROB,RACHEL","Clinical Professor","Law School","PHD 2016 City University Of New York"
"1288","GROBLEWSKI,GUY","Professor","Nutritional Sciences","PHD 1991 East Carolina University"
"1289","GRODSKY,ERIC","Professor","Sociology","PHD 2002 Univ of Wisconsin-Madison"
"1290","GROSS,DOMINIC","Assistant Professor","Electrical &amp; Computer Engr","PHD 2014 "
"1291","GROSS,KELSEY NICOLE","Asst Faculty Assoc","Social Work","MSW 2010 Univ of Wisconsin-Madison"
"1292","GROSS,SABINE","Professor","German, Nordic &amp; Slavic","PHD 1991 U of California-Santa Barbara"
"1293","GROSSENBACHER,LAURA","Faculty Associate","Academic Affairs","PHD 1996 Texas College"
"1294","GROVES,RUSSELL","Professor","Entomology","PHD 2001 North Carolina State Univ"
"1295","GRUBEN,KREG","Associate Professor","Kinesiology","PHD 1993 Johns Hopkins University"
"1296","GRUNEWALD,RALPH","Assistant Professor","English","LLM 2005 Univ of Wisconsin-Madison"
"1297","GRUNNET,JOSHUA JEROME","Lecturer","Cals Academic Affairs","BS 2006 Univ of Wisconsin-Madison"
"1298","GUBNER,JOHN A.","Professor","Electrical &amp; Computer Engr","PHD 1988 Univ of Maryland College Park"
"1299","GUEDOT,CHRISTELLE","Associate Professor","Entomology","PHD 2004 Utah State University"
"1300","GUEVAR,JULIEN","Clinical Asst Prof","Medical Sciences","DVM 2006 Universite de l'Etat a Liege"
"1301","GUMPERZ,JENNY","Professor","Medical Microbiology","PHD 1996 Stanford University"
"1302","GUNASEKARAN,SUNDARAM","Professor","Biological Systems Engineering","PHD 1985 Univ of IL at Urbana-Champaign"
"1303","GUNNESON,ERIK","Faculty Associate","Communication Arts","BA 2011 Univ of Wisconsin-Madison"
"1304","GUO,SHAOMING","Assistant Professor","Mathematics","PHD 2015 Universitat Bonn"
"1305","GUO,XIAOQIN","Visiting Asst Prof","Mathematics","PHD 2012 Univ of Minnesota-Twin Cities"
"1306","GUPTA,MOHIT","Assistant Professor","Computer Sciences","PHD 2011 Carnegie-Mellon University"
"1307","GUPTA,RACHAYTA","Lecturer","South Asian Sum Lang Instit","MA  "
"1308","GUPTE,SACHIN","Clinical Instructor","Law School","JD 2011 University of Pittsburgh"
"1309","GUREVICH,SHAMGAR","Associate Professor","Mathematics","PHD 2005 Tel Aviv University"
"1310","GURNEE,KENDRA","Assoc Lecturer","Pharmacy","MS 2010 Univ of Wisconsin-Madison"
"1311","GUSSICK,MEGAN ELIZABETH","Clinical Asst Prof","Emergency Medicine","MD 2012 Univ of Wisconsin-Madison"
"1312","GUSTAFSON,JAMES P","Professor","Psychiatry","MD 1967 Harvard University"
"1313","GUSTIN,LEA","Asst Faculty Assoc","Chemistry","DS 2016 University of New Orleans"
"1314","GUTHMAN,PAMELA L","Clinical Assoc Prof","Nursing","DNP 2015 Univ of Minnesota-Twin Cities"
"1315","GUTIERREZ CHACON,LUCIA","Assistant Professor","Agronomy","PHD 2008 Iowa State Univ of Sci &amp; Tech"
"1316","GUYER,SARA","Professor","English","PHD 2001 Univ of California Berkeley"
"1317","HAAS,CHRISTINE","Lecturer","Engr Professional Development"," "
"1318","HAAS,NATE","Lecturer","Comparative Biosciences","DVM 2009 "
"1319","HAAS,RUSS","Assoc Lecturer","Academic Affairs","MS 1992 Naval Postgraduate School"
"1320","HABECK,KODY LOUIS","Lecturer","Biological Systems Engineering","MS 2011 Univ of Wisconsin-Madison"
"1321","HABERKORN,TYRELL","Associate Professor","Asian Languages &amp; Cultures","PHD 2007 Cornell University"
"1322","HABIB,ASIF DOMINIC","Professor L/I","Chemistry","PHD 1991 Catholic University Of America"
"1323","HACKER,TIMOTHY A.","Senior Scientist","Cardiovascular Research Center","PHD 1996 Univ of Wisconsin-Madison"
"1324","HADLEY,DOUGLAS B","Univ Services Assoc 1","Planning &amp; Landscape Arch","MLA 2011 Univ of Wisconsin-Madison"
"1325","HAFEZ,GHOLAM R.","Professor (CHS)","Pathology&amp;Laboratory Medicine","MD 1970 Ferdowsi University of Mashhad"
"1326","HAFNER,MADELINE MARGARET","Lecturer","Ed Leadership&amp;Policy Analysis","EDD 2000 Univ of Wisconsin-Madison"
"1327","HAGEN,TIMOTHY","Adjunct Asst Prof","Mead Witter School Of Music","DMA 2014 University of Texas at Austin"
"1328","HAGER,DAVID RICHARD","Clinical Asst Prof","Pharmacy","PHARMD 2005 Univ of Wisconsin-Madison"
"1329","HAGER,PEGGY","Senior Lecturer","German, Nordic &amp; Slavic","MA 2016 Univ of Wisconsin-Madison"
"1330","HAGERICH,KIMBERLY ANN","Senior Lecturer","English","MFA 2011 Univ of Massachusetts Amherst"
"1331","HAGERMOSER,ELIZABETH","Lecturer","Educational Psychology","PHD 2016 Univ of Wisconsin-Madison"
"1332","HAGNESS,SUSAN","Professor","Electrical &amp; Computer Engr","PHD 1998 Northwestern University"
"1333","HAHM,ANDREW","Assoc Lecturer","Accting &amp; Info Sys","MACC 2019 Univ of Wisconsin-Madison"
"1334","HAHN,ERIN MARGARET","Adjunct Instructor","Law School","JD 1994 Univ of Wisconsin-Madison"
"1335","HAI,AVIAD","Assistant Professor","Biomedical Engineering"," "
"1336","HAIRSTON,MARK STEVEN","Assistant Professor","Theatre &amp; Drama","MFA 2018 Columbia University"
"1337","HALBACH,THEODORE","Assoc Faculty Assoc","Dairy Science","MS 1985 University of Arizona"
"1338","HALBERG,RICH","Associate Professor","Medicine","PHD 1994 Michigan State University"
"1339","HALL,APRIL","Clin Genetic Counslor","Ctr For Human Genomic Prec Med","PHD 2011 Baylor College Of Medicine"
"1340","HALL,DEANNE J","Adjunct Instructor","Journalism&amp;Mass Communication","BA 2011 Indiana University"
"1341","HALL,EMILY","Dis Faculty Associate","English","PHD 2011 Univ of Wisconsin-Madison"
"1342","HALL,JOHN","Associate Professor","History","PHD 2007 Univ Of NC At Chapel Hill"
"1343","HALL,TIMOTHY JON","Professor","Medical Physics","PHD 1988 Univ of Wisconsin-Madison"
"1344","HALLISY,KRISTINE MARIE","Asst Professor (CHS)","Family Medicine","DS 2011 Andrews University"
"1345","HALLORAN,MARY","Professor","Integrative Biology","PHD 1994 Univ of Wisconsin-Madison"
"1346","HALM,WENDY","Clinical Assoc Prof","Nursing","DNP 2011 Univ of Wisconsin-Milwaukee"
"1347","HALPERN-MEEKIN,SARAH","Associate Professor","School Of Human Ecology","PHD 2009 Harvard University"
"1348","HALVERSON,ALAN DALE","Adjunct Assoc Prof","Computer Sciences","PHD 2006 Univ of Wisconsin-Madison"
"1349","HALVERSON,ERICA","Professor","Curriculum And Instruction","PHD 2005 Northwestern University"
"1350","HALVERSON,RICHARD ROGER","Professor","Ed Leadership&amp;Policy Analysis","PHD 2001 Northwestern University"
"1351","HALVERSON,STEFFIE","Lecturer","Counseling Psychology","EDM 2014 Univ of Wisconsin-Madison"
"1352","HALZEN,FRANCIS L.","Acad Program Director","Uw-Ice Cube Research Center","PHD 1969 Univ Catolique de Louvain"
"1353","HAMDAN,MOHAMED H","Professor","Medicine","MD 1987 American University of Beirut"
"1354","HAMEDANI,AZITA","Associate Professor","Emergency Medicine","MD 2000 Yale University"
"1355","HAMERS,ROBERT JOHN","Professor","Chemistry","PHD 1986 Cornell University"
"1356","HAMPTON,JESSE CLAY","Assistant Professor","Civil &amp; Environmental Engr","PHD  "
"1357","HAMPTON,JOHN MITCHELL","Researcher","Uw Comprehensive Cancer Center","MS 2000 Univ of Wisconsin-Madison"
"1358","HANDELSMAN,JO EMILY","Professor","Plant Pathology","PHD 1984 Univ of Wisconsin-Madison"
"1359","HANHART,ALEXANDER","Lecturer","Mathematics","PHD 2009 Univ Of Minnesota-St Paul"
"1360","HANNA,AMGAD","Assoc Professor (CHS)","Neurological Surgery","MD 1990 Cairo University"
"1361","HANNA,AWAD","Professor","Civil &amp; Environmental Engr","PHD 1989 Pennsylvania State University"
"1362","HANNON,JENNIFER ANNE","Adjunct Instructor","Law School","JD 2000 "
"1363","HANSEN,ANNE","Professor","History","PHD 1999 Harvard University"
"1364","HANSEN,BRUCE E.","Professor","Economics","PHD 1989 Yale University"
"1365","HANSEN,DAVID","Lecturer","Economics","PHD 2011 Stanford University"
"1366","HANSEN,KAREN ELIZABETH","Associate Professor","Medicine","MD 1993 Univ of Wisconsin-Madison"
"1367","HANSEN,KORINNA K","Senior Lecturer","Economics","PHD 2011 University Of Rochester"
"1368","HANSON BRENNER,GAIL M","Faculty Associate","Nursing","MSN 2005 Univ of Wisconsin-Eau Claire"
"1369","HANSON,CARRIE L","Visiting Lecturer","Dance","MA 2001 "
"1370","HANSON,EDWARD","Visiting Asst Prof","Mathematics","PHD 2013 Univ of Wisconsin-Madison"
"1371","HANSON,KAEL D","Professor","Physics","PHD 2000 Univ of Michigan at Ann Arbor"
"1372","HANSON,LANE L","Assoc Lecturer","Law School","MSW 2015 Univ of Wisconsin-Madison"
"1373","HANUKAI,MAKSIM","Assistant Professor","German, Nordic &amp; Slavic","PHD 2016 Columbia University"
"1374","HANUSA,DARALD ROBERT","Senior Lecturer","Social Work","PHD 1993 Univ of Wisconsin-Madison"
"1375","HARACKIEWICZ,JUDITH","Professor","Psychology","PHD 1980 Harvard University"
"1376","HARARI,PAUL M","Professor","Human Oncology","MD 1984 University of Virginia"
"1377","HARDIE,ROBERT J.","Clinical Professor","Surgical Sciences","DVM 1991 University of Georgia"
"1378","HARDIN,JEFF","Professor","Integrative Biology","PHD 1987 Univ of California Berkeley"
"1379","HARK,MARY","Professor","School Of Human Ecology","MFA 1989 Sch Of The Art Inst Of Chicago"
"1380","HARKER,KELSEY","Assoc Lecturer","Dance","CER 2017 "
"1381","HARMS,BRUCE A","Professor","Surgery","MD 1977 Univ of Nebraska Medical Ctr"
"1382","HAROLDSON,AMBER RAE","Assoc Faculty Assoc","Nutritional Sciences","PHD 2013 Univ Of NC At Greensboro"
"1383","HARRILL,STEPHANIE","Lecturer","Consumer Science","MSSW 2010 Columbia University"
"1384","HARRINGTON,EILEEN","Adjunct Professor","Political Science","JD 1982 U Of The District Of Columbia"
"1385","HARRINGTON,GREG","Professor","Civil &amp; Environmental Engr","PHD 1997 Univ Of NC At Chapel Hill"
"1386","HARRINGTON,JOHN ALAN","Professor","Planning &amp; Landscape Arch","MS 1983 Univ of Wisconsin-Madison"
"1387","HARRIS,ANDREA","Associate Professor","Dance","PHD 2005 Univ of Wisconsin-Madison"
"1388","HARRIS,ANNE BRADFORD","Clinical Professor","Waisman Center","PHD 2003 "
"1389","HARRIS,MICHELLE","Dis Faculty Associate","Biology Core Curriculum","PHD 2011 Univ of Wisconsin-Madison"
"1390","HARRIS,MOLLY SAINER","Assoc Lecturer","Classic &amp; Ancient Near E Stds","PHD 2019 Univ of Wisconsin-Madison"
"1391","HARRIS,RONALD","Dis Faculty Associate","English","PHD 2011 Univ of Wisconsin-Madison"
"1392","HARRIS,THOMAS","Adjunct Asst Prof","Engr Professional Development","PHD 1989 Massachusetts Inst Of Tech"
"1393","HARRISON,MELISSA","Associate Professor","Biomolecular Chemistry","PHD 2006 Massachusetts Inst Of Tech"
"1394","HART,DAVID ALLEN","Lecturer","Academic Programs","PHD 2000 Univ of Wisconsin-Madison"
"1395","HART,ELIZABETH MARIE","Lecturer","Counseling Psychology","EDM 2016 Univ of Wisconsin-La Crosse"
"1396","HART,SARAH","Assistant Professor","Forest &amp; Wildlife Ecology","PHD 2014 Univ of Colorado at Boulder"
"1397","HARTEL,RICHARD W.","Professor","Food Science","PHD 1980 Colorado State University"
"1398","HARTEMINK,ALFRED","Professor","Soil Science","PHD 2001 University of Reading"
"1399","HARTENBACH,ELLEN","Professor","Obstetrics &amp; Gynecology","MD 1988 Univ of Missouri-Columbia"
"1400","HARTLEY,SIGAN","Associate Professor","School Of Human Ecology","PHD 2007 University of Wyoming"
"1401","HARTMAN,AMY","Clinical Professor","Communication Sci &amp; Disorders","PHD 2009 A.T. Still University"
"1402","HARTMAN,ELLIE","Assoc Lecturer","Educational Psychology","EDD 2007 Univ of Minnesota-Twin Cities"
"1403","HARTMAN,JEFFREY ALAN","Asst Professor (CHS)","Family Medicine","DPT  "
"1404","HARTUP,BARRY KINNEY","Clinical Instructor","Surgical Sciences","DVM 1993 Univ of Wisconsin-Madison"
"1405","HASHIMOTO,AKI","Professor","Physics","PHD 1997 Princeton University"
"1406","HASSAN,SARA SERAG","Lecturer","Pharmacy","PHD 2017 Harvard University"
"1407","HASSETT,DAWNENE","Professor","Curriculum And Instruction","PHD 1999 Univ of Wisconsin-Madison"
"1408","HASTI,BECK","Faculty Associate","Computer Sciences","PHD 2011 Univ of Wisconsin-Madison"
"1409","HASTINGS,PATRICIA","Faculty Associate","Journalism&amp;Mass Communication","MA 1993 Univ of Wisconsin-Madison"
"1410","HATZEL,JEFFREY","Assoc Lecturer","Geography","MS 2017 Univ of Wisconsin-Madison"
"1411","HAU,JULIE MARIE","Lecturer","Counseling Psychology"," "
"1412","HAUSCH,DON","Professor","Operations &amp; Information Mgmt","PHD 1984 Northwestern University"
"1413","HAUSMAN,DAN","Professor","Philosophy","PHD 1978 Columbia University"
"1414","HAUXWELL,JENNIFER ANNE","Lecturer","Academic Programs","PHD  Boston University"
"1415","HAVENS,CYNTHIA ANNE","Lecturer","Counseling Psychology","MC 1999 Univ of Wisconsin-Madison"
"1416","HAVEY,MICHAEL","Professor","Horticulture","PHD 1984 Univ of Wisconsin-Madison"
"1417","HAWKINS,MARGARET","Professor","Curriculum And Instruction","PHD 1997 Univ of Massachusetts Amherst"
"1418","HAWKINS,SHAWNA","Clinical Instructor","Surgical Sciences"," "
"1419","HAWKS,JOHN","Professor","Anthropology","PHD 1999 Univ of Michigan at Ann Arbor"
"1420","HAWLEY,DONNA J","Faculty Associate","Nursing","DNP 2018 Univ of Wisconsin-Oshkosh"
"1421","HAYES,COLLEEN E","Professor","Biochemistry","PHD 1973 Univ of Michigan at Ann Arbor"
"1422","HAYNES MANOGUE,JONANNE MARIE","Lecturer","Kinesiology","EDM 1987 Univ of Wisconsin-Whitewater"
"1423","HAYNES,APRIL","Associate Professor","History","PHD 2009 U of California-Santa Barbara"
"1424","HAYNEY,MARY","Professor (CHS)","Pharmacy","PHARMD 1993 Univ of Minnesota-Twin Cities"
